experiment,total_segmented_cells,mean_cosine_before,mean_cosine_after,median_cosine_before,median_cosine_after,std_cosine_before,std_cosine_after,low_confidence_before,low_confidence_after,percent_low_confidence_before,percent_low_confidence_after,cells_considered_for_correction,cells_improved,percent_improved_of_considered,cells_rejected_or_unchanged,average_cosine_improvement_among_improved,max_cosine_improvement,overall_mean_delta,overall_max_delta,cells_with_any_score_change
baseline_no_correction,82,0.10087482157015666,0.10087482157015666,0.10389230601632146,0.10389230601632146,0.03902785163350282,0.03902785163350282,38,38,46.34146341463415,46.34146341463415,38,0,0.0,38,0.0,0.0,0.0,0.0,0
strict_patch80_diam20,82,0.10087482157015666,0.10120131520783132,0.10389230601632146,0.10389230601632146,0.03902785163350282,0.03873966946617074,38,38,46.34146341463415,46.34146341463415,38,10,26.31578947368421,28,0.0026772478289320153,0.009164527693295456,0.00032649363767463604,0.009164527693295456,10
relaxed_patch80_diam20,82,0.10087482157015666,0.10120131520783132,0.10389230601632146,0.10389230601632146,0.03902785163350282,0.03873966946617074,38,38,46.34146341463415,46.34146341463415,38,11,28.94736842105263,27,0.0024338616626654735,0.009164527693295456,0.0003264936376746367,0.009164527693295456,11
larger_patch150_diam20,82,0.10087482157015666,0.10101574500151612,0.10389230601632146,0.10389230601632146,0.03902785163350282,0.03907016843576784,38,38,46.34146341463415,46.34146341463415,38,14,36.8421052631579,24,0.0008254086693911365,0.0031073547024305648,0.00014092343135946233,0.0031073547024305648,14
worst25_patch150_diam20,82,0.10087482157015666,0.10092225738813836,0.10389230601632146,0.10389230601632146,0.03902785163350282,0.03897299685886524,38,38,46.34146341463415,46.34146341463415,21,9,42.857142857142854,12,0.000432193008277481,0.0011334482335396828,4.743581798167475e-05,0.0011334482335396828,9
