experiment,cells_improved,mean_cosine_before,mean_cosine_after,overall_mean_delta,max_cosine_improvement
relaxed_patch80_diam20,11,0.10087482157015666,0.10120131520783132,0.0003264936376746367,0.009164527693295456
strict_patch80_diam20,10,0.10087482157015666,0.10120131520783132,0.00032649363767463604,0.009164527693295456
larger_patch150_diam20,14,0.10087482157015666,0.10101574500151612,0.00014092343135946233,0.0031073547024305648
worst25_patch150_diam20,9,0.10087482157015666,0.10092225738813836,4.743581798167475e-05,0.0011334482335396828
baseline_no_correction,0,0.10087482157015666,0.10087482157015666,0.0,0.0
