mode,n_subset_genes,cells_with_signal,cells_total,mean_baseline_similarity,mean_subset_similarity,mean_margin_baseline,mean_margin_subset,cells_changed_type_scored
marker_subset,21,31,82,0.1009,0.3661,0.003193,0.057698,26
top100_variance,100,72,82,0.1009,0.2455,0.003193,0.030605,46
